Movies,Years,Review Links,Buy Links
 Stand By Me,1986,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/stand-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B003BNY6YE/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B003BNY6YE&linkId=5dd32860f2c5126a8a53f2668f114778
 Raging Bull,1980,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/raging-bull/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B004G8QT2U/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B004G8QT2U&linkId=b26f7fb5172ea177d53f358d272209a3
 Amelie,2001,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/amelie/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B005HI4LN2/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B005HI4LN2&linkId=ecd25f9d461c9a4a98819ae5c1888486
 Titanic,1997,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/titanic-2-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B003AQCV0I/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B003AQCV0I&linkId=b5eb9f1edc82d3e0b531bf8868ac7f5a
 Good Will Hunting,1997,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/good-will-hunting/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B00525QKI4/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B00525QKI4&linkId=d6f31468fbef11a2ee16a7c58ccea83a
 Arrival,2016,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/arrival-2-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B01MXEQRLW/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B01MXEQRLW&linkId=2a277db8e31e04b56023d1be7032a695
 Lost In Translation,2003,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/lost-translation-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B005HI4LPU/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B005HI4LPU&linkId=4c4598f997bc0b054b3b581ef7a8cb91
 The Princess Bride,1987,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/princess-bride-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B074NGZJHY/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B074NGZJHY&linkId=cdc6c2c5f2816c07f4b360aa7db8b53c
 The Terminator,1984,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/terminator/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B00W5C5AM4/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B00W5C5AM4&linkId=e08be4bd50012b810357f570f2902076
 The Prestige,2006,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/prestige-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B000RWDX9Q/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B000RWDX9Q&linkId=5c209003947be8894152085026e34f76
 No Country For Old Men,2007,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/country-old-men/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B001B6CCCQ/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B001B6CCCQ&linkId=b099da6cf99c9273261ce1edb5e84857
 Shaun Of The Dead,2004,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/shaun-dead-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B00CSVD1WS/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B00CSVD1WS&linkId=f9d24b8377e662601ebeb666d6fcf342
 The Exorcist,1973,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/exorcist-director-cut-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B003IHVKRY/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B003IHVKRY&linkId=a399f1843c125eb73555a8fa60a98fa1
 Predator,1987,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/predator-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B003JSRSR8/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B003JSRSR8&linkId=4c566f21cac04f9a7fe149f228953fca
 Indiana Jones And The Last Crusade,1989,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/indiana-jones-last-crusade-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B00G0O9X9E/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B00G0O9X9E&linkId=ed0620084d3cb9710f532de0cda9622a
 Léon,1994,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/leon-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B002BC9YXO/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B002BC9YXO&linkId=403bb5931164cf184bd733ad9587778c
 Rocky,1976,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/rocky-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B00JG1HYM6/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B00JG1HYM6&linkId=2833abc4d2ae0d2bcc31f0708e363cb1
 True Romance,1993,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/true-romance-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B0029TQW7A/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B0029TQW7A&linkId=38f61557451e8c623c87f3ae3f21ced9
 Some Like It Hot,1959,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/like-hot-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B003BIFR7Y/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B003BIFR7Y&linkId=acdd2e5970812f8bf340923763231d91
 The Social Network,2010,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/social-network-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B005ELMSTQ/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B005ELMSTQ&linkId=70ccfeafbe7bc8d7768f002e24221751
 Spirited Away,Null,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/spirited-away-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/dp/B00M482XCY/ref=as_li_ss_tl?ie=UTF8&linkCode=ll1&tag=emparticle142-21&linkId=21d796958369a86a91e9953a4f6aaaf4&language=en_GB
 Captain America: Civil War,2016,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/captain-america-civil-war-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B01EWNUUTQ/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B01EWNUUTQ&linkId=3aee5cbc466e21fdec1b1f975810724b
 Oldboy,2003,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/oldboy-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B000TQLJ14/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B000TQLJ14&linkId=245b6cc8f72be19e47561af2a6b894e8
 Toy Story,1995,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/toy-story-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B0042FZOFU/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B0042FZOFU&linkId=bd6dbea2c4ccbf471aa5d081dd8f0b16
 A Clockwork Orange,1971,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/clockwork-orange-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B0013K119U/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B0013K119U&linkId=3b4549e659f92438a05640100316643f
 Fargo,1996,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/fargo-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B00I9Y8G9Q/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B00I9Y8G9Q&linkId=655098c61087e1d53e68849889aaf40c
 Mulholland Dr.,2001,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/mulholland-drive-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B06XYBH7KC/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B06XYBH7KC&linkId=5f7d3d52ae59da9fef69770e0bac0343
 Seven Samurai,1954,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/seven-samurai-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B00LJ07FBC/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B00LJ07FBC&linkId=c2998fed9f19ec7f8278bda4c188a3a4
 Rear Window,1954,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/rear-window-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B00KQHWA9Q/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B00KQHWA9Q&linkId=20b30c86700e2ed33eaf047da4bbba0e
 Hot Fuzz,2007,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/hot-fuzz-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B00CSVD1W8/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B00CSVD1W8&linkId=67ccee0d56c4460d8bace03771f739a6
 The Lion King,1994,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/lion-king-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B00KWTZ1RG/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B00KWTZ1RG&linkId=3c705abc46f78d61b13a2c2cecba21b0
 Singin' In The Rain,1952,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/singin-rain-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B008YG4OPY/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B008YG4OPY&linkId=36c8b781adc7992fb473cf2c2fe467cd
 Ghostbusters,1984,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/ghostbusters-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B00KWWFV2I/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B00KWWFV2I&linkId=70f2b79dcc0fae21b0e1d1e3ba2181e0
 Memento,2000,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/memento-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B003YCM03Q/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B003YCM03Q&linkId=d15e075181d25047ec14cbfdf265bbc7
 Return Of The Jedi,1983,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/star-wars-episode-vi-return-jedi-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B013GTXHMY/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B013GTXHMY&linkId=ecf99e85194b29194f662b08f9bc337f
 Avengers Assemble,2012,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/avengers-assemble-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B00742SZQI/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B00742SZQI&linkId=75718831b6abcf2a59c237de6fd3c2f7
 L.A. Confidential,1997,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/l-confidential-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B073XWZWL3/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B073XWZWL3&linkId=2a8e8d4a1aa3b13f2141df287b36b7ab
 Donnie Darko,2001,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/donnie-darko-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B07669KXZX/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B07669KXZX&linkId=9e39e4449b87731395d696ba5385ecba
 La La Land,2016,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/la-la-land-review-2/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B01N5LPK9M/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B01N5LPK9M&linkId=58a6416622b2ad9cfd062643e421d749
 Forrest Gump,1994,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/forrest-gump-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B00C6CARIU/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B00C6CARIU&linkId=1d63711853e1efb0901c2cfb700697be
 American Beauty,1999,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/american-beauty-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B003BEDT8M/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B003BEDT8M&linkId=0897e9b2ed896f1866971323e60d9bee
 E.T. – The Extra Terrestrial,1982,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/et-extra-terrestrial-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B00LY0T7MM/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B00LY0T7MM&linkId=18db8ec179704ee6bdb664e01814dc40
 Inglourious Basterds,2009,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/inglourious-basterds-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B002MZZMRM/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B002MZZMRM&linkId=e9f866f36cae19579355f71c0c33da02
 Whiplash,2014,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/whiplash-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B00S6PLGHC/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B00S6PLGHC&linkId=44510cceb42b782b5dcbe15fd46714f0
 Reservoir Dogs,1992,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/empire-essay-reservoir-dogs-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B002IVTV4U/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B002IVTV4U&linkId=03f057116002b60c8a2fc6a691d9b228
 Pan's Labyrinth,2006,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/pan-labyrinth-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B004EMRZW6/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B004EMRZW6&linkId=0812b4c0368f1db8e269783f27529933
 Vertigo,1958,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/vertigo-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B003BEDT96/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B003BEDT96&linkId=a52c85070deb4e8583914ad436b79644
 Psycho,1960,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/psycho-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B003BEDT78/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B003BEDT78&linkId=c9a1a2a54d36c35d61d1180f2ec3eefc
 Once Upon A Time In The West,1968,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/upon-time-west-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B003BEDT7I/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B003BEDT7I&linkId=b630c7602c485827eeaaca4174f84f91
 It's A Wonderful Life,1946,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/wonderful-life-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B01LQ7RC4M/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B01LQ7RC4M&linkId=f26186eae4479a5ae94cf286c974ba4a
