Movies,Years,Review Links,Buy Links
 Lawrence Of Arabia,1962,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/lawrence-arabia-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B003ARSPIE/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B003ARSPIE&linkId=799449df42ed6f3ebe9fd0ab7dda6bfc
 Trainspotting,1996,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/trainspotting-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B0014MY1GM/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B0014MY1GM&linkId=64f104bfaa9212b50b2252e33b80ff32
 The Silence Of The Lambs,1991,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/silence-lambs-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B001U3EOHQ/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B001U3EOHQ&linkId=d0901dda5d1947da329eca172d704e5e
 Interstellar,2014,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/interstellar-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B00EXPOCNO/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B00EXPOCNO&linkId=cb213075424906990c8e434f683126c3
 Citizen Kane,1941,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/citizen-kane-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B01FU85920/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B01FU85920&linkId=ab550d6f1fe3875ae1fbdd6538e2f99a
 Drive,2011,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/drive-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B005VP822M/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B005VP822M&linkId=a3f9873a4d590a5aa1a1e915d63c5540
 Gladiator,2000,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/gladiator-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B00T7MDZ6S/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B00T7MDZ6S&linkId=fe1cd21acd50830a1ad1cb03a4ae2627
 One Flew Over The Cuckoo's Nest,1975,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/one-flew-cuckoo-nest-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B001KN8WJ2/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B001KN8WJ2&linkId=65c7d51195893ccde2f5831814a1220e
 There Will Be Blood,2007,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/will-blood-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B005C4440G/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B005C4440G&linkId=a5af17fc5e305e1833e9d1fb4924f056
 Eternal Sunshine Of The Spotless Mind,2004,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/eternal-sunshine-spotless-mind-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B005HI4LOQ/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B005HI4LOQ&linkId=82364b19b7365ce21096fec3b9ce4408
 12 Angry Men,1957,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/twelve-angry-men-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B00B3V38DG/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B00B3V38DG&linkId=82f7f1c637906b2cd234aac1ce1d8338
 Saving Private Ryan,1998,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/saving-private-ryan-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B00C6CARTE/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B00C6CARTE&linkId=8aaf90bf55cb6c03fde2834ccd69ffd2
 Mad Max: Fury Road,2015,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/mad-max-fury-road-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B00QKS2CJI/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B00QKS2CJI&linkId=2dfa5b0fc670a991790c70ccd7a223ce
 The Thing,1982,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/thing-2-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B074WVZK5T/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B074WVZK5T&linkId=eeab053169bd18dc00511234b89a2dec
 The Departed,2006,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/departed-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B000PC1MNM/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B000PC1MNM&linkId=5b59dd39e64806c4007dbda1353d0200
 The Shining,1980,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/shining-2-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B0013K11AE/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B0013K11AE&linkId=1750fdd19c3f5cb95b27a4912f39c241
 Guardians Of The Galaxy,2014,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/guardians-galaxy-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B00IXGU7XI/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B00IXGU7XI&linkId=42dbb5ba14cbdc0ae939cc09cf55fbf2
 Schindler's List,1993,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/schindler-list-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B00VTH9UE0/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B00VTH9UE0&linkId=4c94718d780ad825040c859adcfd966b
 The Usual Suspects,1995,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/usual-suspects-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B001FBPJU4/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B001FBPJU4&linkId=fbaa892cac3a918d804aa238311a6e45
 Taxi Driver,1976,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/taxi-driver-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B004SF68DG/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B004SF68DG&linkId=330879873eaec303001786a369413a36
 Seven,1995,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/seven-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B003468H2A/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B003468H2A&linkId=6d833df7cc8fde2a6589f605f8e98590
 The Big Lebowski,1998,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/big-lebowski-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B005UKU0ZA/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B005UKU0ZA&linkId=7fc2c95a989d82145d49f244a790a551
 Casablanca,1942,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/casablanca-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B0035RQTNC/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B0035RQTNC&linkId=21aefa52ae7fbc206f2081503dd0e98f
" The Good, The Bad And The Ugly",1966,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/good-bad-ugly-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B00JQ8HW7G/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B00JQ8HW7G&linkId=99d71a32fc6fef4a48566035af0a87a7
 Heat,1995,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/heat-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B01N0Q18P0/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B01N0Q18P0&linkId=87e33e1499026bcbcd3e14be0d0f5aa2
 Terminator 2: Judgment Day,1991,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/terminator-2-judgment-day-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B073XP1GJZ/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B073XP1GJZ&linkId=e0e024088f1600acdd59f10a6ccc73d1
 The Matrix,1999,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/matrix-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B001CEE1YE/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B001CEE1YE&linkId=56679ef0265f95d4303bc97a1ca346f3
 The Lord Of The Rings: The Two Towers,2002,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/lord-rings-two-towers-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B00LTQPBE4/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B00LTQPBE4&linkId=b5ecd2459c4e97c10b48650d8a2688ab
 Apocalypse Now,1979,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/apocalypse-now-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B006DGHYJK/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B006DGHYJK&linkId=43140c1c0cb38f1614197a3b4bd8c28d
 2001: A Space Odyssey,1968,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/2001-space-odyssey-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B0013K1190/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B0013K1190&linkId=98ab4bcfdd2803969ad5e7b610e9e1e0
 Die Hard,1988,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/die-hard-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B00CLDQCHE/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B00CLDQCHE&linkId=27c94ea9f9b3c513818faa7d996797b5
 Jurassic Park,1993,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/jurassic-park-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B00UHJBS4G/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B00UHJBS4G&linkId=3d9538c0a152e7b053b425fa12e31c2f
 Inception,2010,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/inception-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B005EYSVJE/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B005EYSVJE&linkId=d9c42eeb50965786e1888a28e2a86856
 Fight Club,1999,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/fight-club-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B002LE87R6/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B002LE87R6&linkId=0a8bdb0f098ea3b055da87861b473773
 The Lord Of The Rings: The Return Of The King,2003,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/lord-rings-return-king-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B0030NL8MI/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B0030NL8MI&linkId=e1d3877eed73fd58ddfac02be586b560
 Aliens,1986,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/aliens-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B005NGOS7W/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B005NGOS7W&linkId=b8e89b3b81357755815f6a0dbce81c28
 Alien,1979,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/alien-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B005NGOMKA/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B005NGOMKA&linkId=9589a743cd3ba0f7d1ae7cfe461c3831
 Blade Runner,1982,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/blade-runner-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B000VS20M2/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B000VS20M2&linkId=9cffffb4a0af61b53cf8e92ec1f26a09
 The Godfather Part II,1974,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/godfather-part-ii-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B004R0TV40/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B004R0TV40&linkId=c2bba1939935815452f7eefe9660f05c
 Back To The Future,1985,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/back-future-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B005HBVCD6/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B005HBVCD6&linkId=88a118a34216d99f82b411ea72d64bb3
 The Lord Of The Rings: The Fellowship Of The Ring,2001,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/lord-rings-fellowship-ring-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B0030NL8LY/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B0030NL8LY&linkId=d6f321ab024a5df625b21de7c2652dd4
 Star Wars,1977,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/star-wars-episode-iv-new-hope-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B013GTXDZA/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B013GTXDZA&linkId=1265782ff63bd6f2092ffad195fea902
 Jaws,1975,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/jaws-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B00LY0T7RM/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B00LY0T7RM&linkId=209f6429631a88a1474129b4cf1352f0
 Raiders Of The Lost Ark,1981,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/raiders-lost-ark-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B00G0O9XAI/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B00G0O9XAI&linkId=cb0c631bdb0637d1ea77b5693e511b5a
 Goodfellas,1990,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/goodfellas-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B00UTDXZ0A/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B00UTDXZ0A&linkId=3f78348e403492e760da3956e0b3c3e7
 Pulp Fiction,1994,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/pulp-fiction-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B005FE6ZLY/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B005FE6ZLY&linkId=fc8cd6e29cb8dad3c45f960b700bde51
 The Shawshank Redemption,1994,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/shawshank-redemption-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B001DOM032/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B001DOM032&linkId=f4c9fee9cf82d1e3e48e02e320d54f5f
 The Dark Knight,2008,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/dark-knight-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B001CEE1WG/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B001CEE1WG&linkId=4f97f5225fecb32a453f1a63940a8bc0
 The Empire Strikes Back,Null,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/star-wars-episode-v-empire-strikes-back-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B013GTXFIU/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B013GTXFIU&linkId=67f20332ce9ce51279c06451a5d23ef8
 The Godfather,1972,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/godfather-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B004R0TV4K/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B004R0TV4K&linkId=7bebac6d3d8f99f31b9262b891e15db6
